,model,article_id,subject_bias,framing_bias,treatment_bias,guests_bias,confidence,comment,run,overall_bias
0,llama3.2:latest,28980688,-0.1,0.2,0.3,0.5,0.8,"L'article présente une vision générale positive de la relation entre l'Irak et la Suisse, en mettant en avant les opportunités économiques et les efforts de coopération entre les deux pays. Cependant, il est important de noter que l'article ne présente pas d'opposition ou de critique significative des politiques irakiennes, ce qui pourrait suggérer une légère préférence pour la Suisse dans le traitement du sujet.",1,0.225
1,llama3.2:latest,29134931,-0.5,0.2,0.1,0.0,0.8,"L'article présente une analyse objective des événements et des causes du glissement de terrain à Niscemi, mais il manque une perspective critique sur les responsabilités politiques et économiques sous-jacentes. Le ton est neutre, mais le langage utilisé pour décrire les conséquences du glissement de terrain peut être considéré comme légèrement dramatique. La source d'information est la télévision italienne RAI, qui est souvent considérée comme une source de référence pour l'actualité italienne.",1,-0.049999999999999996
2,llama3.2:latest,29137930,-0.1,0.2,0.1,0.0,0.8,"L'article présente une approche scientifique objective, mais légèrement plus favorable à la découverte et aux résultats que à l'interprétation des données. Le ton est neutre, mais le langage utilisé pour décrire les animaux prédateurs a un léger ton positif.",1,0.05
3,llama3.2:latest,29138340,-0.5,-1.0,-0.2,-0.8,0.9,"L'article présente une vision généralement favorable à la protection du climat et aux politiques climatiques, mais avec des critiques envers l'initiative pour un fonds climat qui est considérée comme trop rigide et coûteuse. Le discours de Simone de Montmollin est souvent présenté comme plus raisonnable et responsable que celui des partisans de l'initiative.",1,-0.625
4,llama3.2:latest,29138341,-0.1,0.0,0.0,0.0,0.8,"L'article présente un ton neutre et ne semble pas avoir de préférence pour une idéologie en particulier. Le sujet de la LAVI est traité de manière objective, mais les citations des responsables politiques sont limitées et ne permettent pas d'évaluer leur position politique avec précision.",1,-0.025
5,llama3.2:latest,29138377,-1.0,0.5,-0.2,0.8,0.9,"L'article présente une analyse critique des liens entre les personnalités politiques et Jeffrey Epstein, en mettant en avant les révélations concernant la princesse norvégienne Mette-Marit et son époux Haakon. Le ton est objectif, mais le sujet de l'article semble avoir un ton légèrement critique envers les personnalités politiques impliquées.",1,0.025000000000000022
6,llama3.2:latest,29138628,-0.2,0.1,-0.05,-0.15,0.8,"L'article présente une vision générale de la révision du texte législatif, mais manque de détails sur les implications politiques et économiques de cette loi. La représentation des différents groupes politiques est équilibrée, mais le ton peut être considéré comme légèrement plus favorable à gauche que à droite.",1,-0.07500000000000001
7,gemma2:latest,28980688,0.0,0.1,0.0,0.0,0.6,The article presents a generally neutral view of Swiss business interests in Iraq. There is a slight right-leaning framing due to the emphasis on economic opportunity and stability.,1,0.025
8,gemma2:latest,29134931,0.0,-0.1,0.0,0.0,0.4,The article focuses on a natural disaster and its political ramifications. There is a slight left-leaning framing due to the emphasis on government inaction and calls for funding reallocation.,1,-0.025
9,gemma2:latest,29137930,0.0,0.0,0.0,0.0,0.95,The article presents a factual account of a paleontological discovery with no discernible political leanings.,1,0.0
